Address,Classification,Land Area,Market Value
Pasonanca,Commercial,29,229100
Pasonanca,Commercial,361,2851900
Zone 3,Commercial,842,6651800
Zone 3,Commercial,857,6770300
Zone 3,Commercial,20,158000
Zone 3,Commercial,842,6651800
Zone 3,Commercial,857,6770300
Zone 3,Commercial,1183,1324960
Zone 1,Commercial,30.66,242214
Zone 1,Commercial,200,1580000
Zone 1,Commercial,200,1580000
Zone 1,Commercial,710,5609000
Zone 1,Commercial,200,1580000
Zone 1,Commercial,200,1580000
Zone 1,Commercial,236,1864400
Zone 1,Commercial,400,3160000
Zone 1,Commercial,120,948000
Zone 1,Commercial,471,2684700
Zone 1,Commercial,163,929100
Zone 1,Commercial,164,934800
Zone 1,Commercial,31,244900
Zone 1,Commercial,1014,5779800
Zone 1,Commercial,11.31,89349
Zone 1,Commercial,124,979600
Zone 1,Commercial,41,323900
Zone 1,Commercial,99,782100
Zone 1,Commercial,20.5,161950
Zone 1,Commercial,323,2551700
Zone 1,Commercial,18.55,146545
Zone 1,Commercial,756,5972400
Zone 2,Commercial,10,79000
Zone 2,Commercial,1469,11605100
Zone 2,Commercial,30,171000
Zone 2,Commercial,1129,6435300
Zone 2,Commercial,8,45600
Zone 2,Commercial,255,1453500
Zone 2,Commercial,300,1710000
Zone 2,Commercial,10,57000
Zone 2,Commercial,439,2502300
Zone 2,Commercial,18,102600
Zone 3,Commercial,3462,5193000
Zone 3,Commercial,400,940000
Zone 3,Commercial,200,470000
Zone 3,Commercial,597,1402950
Zone 3,Commercial,353,395360
Zone 3,Commercial,686,1029000
Zone 3,Commercial,686,1029000
Zone 3,Commercial,407,956450
Zone 3,Commercial,407,956450
Zone 3,Commercial,20,47000
Zone 3,Commercial,1699,3992650
Zone 3,Commercial,11.44,131560
Zone 3,Commercial,309,3553500
Zone 3,Commercial,8,18800
Zone 3,Commercial,328,770800
Zone 3,Commercial,10,57000
Zone 3,Commercial,571,3254100
Zone 3,Commercial,12,94800
Zone 3,Commercial,230,1817000
Zone 3,Commercial,858,6778200
Zone 3,Commercial,1018,8042200
Zone 4,Commercial,300,2370000
Zone 4,Commercial,30,237000
Zone 4,Commercial,794,6272600
Zone 2,Commercial,347,2741300
Zone 2,Commercial,68,537200
Zone 4,Commercial,77,608300
Zone 4,Commercial,25,197500
Zone 4,Commercial,700,5530000
Zone 2,Commercial,371,4266500
Zone 2,Commercial,371,4266500
Zone 2,Commercial,18,207000
Zone 2,Commercial,439,5048500
Zone 2,Commercial,16,126400
Zone 2,Commercial,340,2686000
Zone 2,Commercial,20,114000
Zone 2,Commercial,416,2371200
Zone 2,Commercial,14,49000
Zone 2,Commercial,410,1435000
Zone 2,Commercial,14.75,169625
Zone 2,Commercial,415,4772500
Zone 2,Commercial,370,4255000
Santa Maria,Commercial,330,122100
Santa Maria,Commercial,255,94350
Santa Maria,Commercial,503.86,186428.32
Santa Maria,Commercial,465.39,172194.3
Santa Maria,Commercial,474.02,175387.4
Santa Maria,Commercial,213,78810
Santa Maria,Commercial,214,79180
Santa Maria,Commercial,236.55,87523.5
Santa Maria,Commercial,300,111000
Santa Maria,Commercial,379,140230
Santa Maria,Commercial,306,113220
Santa Maria,Commercial,150,55500
Tetuan,Commercial,160,59200
Tetuan,Commercial,450,337500
Tetuan,Commercial,1503,1127250
Tetuan,Commercial,2853,2139750
Tetuan,Commercial,179,66230
Tetuan,Commercial,491,368250
Tetuan,Commercial,165,123750
Tetuan,Commercial,250,92500
Tetuan,Commercial,250,92500
Tetuan,Commercial,801,296370
Tetuan,Commercial,541,200170
Tetuan,Commercial,339,125430
Tetuan,Commercial,250,92500
Tetuan,Commercial,272,100640
Tetuan,Commercial,218,135160
Tetuan,Commercial,247,185250
Tetuan,Commercial,260,195100
Tetuan,Commercial,125,93750
Tetuan,Commercial,260,195000
Tetuan,Commercial,1999,739630
San Jose Gusu,Residential,372,137640
San Jose Gusu,Residential,502,185740
San Jose Gusu,Residential,475,175750
San Jose Gusu,Residential,250,92500
San Jose Gusu,Residential,590,218300
San Jose Gusu,Residential,200,74000
San Jose Gusu,Residential,212,78440
San Jose Gusu,Residential,79,29230
San Jose Gusu,Residential,39,14430
San Jose Gusu,Residential,285,105450
San Jose Gusu,Residential,176,65120
San Jose Gusu,Residential,86,31820
San Jose Gusu,Residential,375,138750
San Jose Gusu,Residential,456,168720
San Roque,Residential,118,43660
San Roque,Residential,321,118770
San Roque,Residential,119,44030
San Roque,Residential,698,258260
San Roque,Residential,120,44400
San Roque,Residential,206,76220
San Roque,Residential,300,111000
San Roque,Residential,100,37000
San Roque,Residential,109,40330
Tugbungan,Residential,485,179450
Tugbungan,Residential,164,60680
Tugbungan,Residential,183,67710
Tugbungan,Residential,182,67340
Tugbungan,Residential,500,185000
Tugbungan,Residential,200,74000
Tugbungan,Residential,241,89170
Tugbungan,Residential,200,74000
Tugbungan,Residential,136,50320
Tugbungan,Residential,518,191660
Tugbungan,Residential,0.1142,4282.5
Tugbungan,Residential,228,84360
Tugbungan,Residential,150,50500
Tugbungan,Residential,370,136900
Santa Maria,Residential,140,51800
Santa Maria,Residential,293,380900
Santa Maria,Residential,150,55500
Santa Maria,Residential,10195,3772150
Santa Maria,Residential,100,37000
Santa Maria,Residential,240,88800
