brgy,classification,land_area,target_value
0,1,29.0,229100.0
0,1,361.0,2851900.0
1,1,842.0,6651800.0
1,1,857.0,6770300.0
1,1,20.0,158000.0
1,1,842.0,6651800.0
1,1,857.0,6770300.0
1,1,1183.0,1324960.0
2,1,30.66,242214.0
2,1,200.0,1580000.0
2,1,200.0,1580000.0
2,1,710.0,5609000.0
2,1,200.0,1580000.0
2,1,200.0,1580000.0
2,1,236.0,1864400.0
2,1,400.0,3160000.0
2,1,120.0,948000.0
2,1,471.0,2684700.0
2,1,163.0,929100.0
2,1,164.0,934800.0
2,1,31.0,244900.0
2,1,1014.0,5779800.0
2,1,11.31,89349.0
2,1,124.0,979600.0
2,1,41.0,323900.0
2,1,99.0,782100.0
2,1,20.5,161950.0
2,1,323.0,2551700.0
2,1,18.55,146545.0
2,1,756.0,5972400.0
3,1,10.0,79000.0
3,1,1469.0,11605100.0
3,1,30.0,171000.0
3,1,1129.0,6435300.0
3,1,8.0,45600.0
3,1,255.0,1453500.0
3,1,300.0,1710000.0
3,1,10.0,57000.0
3,1,439.0,2502300.0
3,1,18.0,102600.0
1,1,3462.0,5193000.0
1,1,400.0,940000.0
1,1,200.0,470000.0
1,1,597.0,1402950.0
1,1,353.0,395360.0
1,1,686.0,1029000.0
1,1,686.0,1029000.0
1,1,407.0,956450.0
1,1,407.0,956450.0
1,1,20.0,47000.0
1,1,1699.0,3992650.0
1,1,11.44,131560.0
1,1,309.0,3553500.0
1,1,8.0,18800.0
1,1,328.0,770800.0
1,1,10.0,57000.0
1,1,571.0,3254100.0
1,1,12.0,94800.0
1,1,230.0,1817000.0
1,1,858.0,6778200.0
1,1,1018.0,8042200.0
4,1,300.0,2370000.0
4,1,30.0,237000.0
4,1,794.0,6272600.0
3,1,347.0,2741300.0
3,1,68.0,537200.0
4,1,77.0,608300.0
4,1,25.0,197500.0
4,1,700.0,5530000.0
3,1,371.0,4266500.0
3,1,371.0,4266500.0
3,1,18.0,207000.0
3,1,439.0,5048500.0
3,1,16.0,126400.0
3,1,340.0,2686000.0
3,1,20.0,114000.0
3,1,416.0,2371200.0
3,1,14.0,49000.0
3,1,410.0,1435000.0
3,1,14.75,169625.0
3,1,415.0,4772500.0
3,1,370.0,4255000.0
5,1,330.0,122100.0
5,1,255.0,94350.0
5,1,503.86,186428.32
5,1,465.39,172194.3
5,1,474.02,175387.4
5,1,213.0,78810.0
5,1,214.0,79180.0
5,1,236.55,87523.5
5,1,300.0,111000.0
5,1,379.0,140230.0
5,1,306.0,113220.0
5,1,150.0,55500.0
6,1,160.0,59200.0
6,1,450.0,337500.0
6,1,1503.0,1127250.0
6,1,2853.0,2139750.0
6,1,179.0,66230.0
6,1,491.0,368250.0
6,1,165.0,123750.0
6,1,250.0,92500.0
6,1,250.0,92500.0
6,1,801.0,296370.0
6,1,541.0,200170.0
6,1,339.0,125430.0
6,1,250.0,92500.0
6,1,272.0,100640.0
6,1,218.0,135160.0
6,1,247.0,185250.0
6,1,260.0,195100.0
6,1,125.0,93750.0
6,1,260.0,195000.0
6,1,1999.0,739630.0
7,0,372.0,137640.0
7,0,502.0,185740.0
7,0,475.0,175750.0
7,0,250.0,92500.0
7,0,590.0,218300.0
7,0,200.0,74000.0
7,0,212.0,78440.0
7,0,79.0,29230.0
7,0,39.0,14430.0
7,0,285.0,105450.0
7,0,176.0,65120.0
7,0,86.0,31820.0
7,0,375.0,138750.0
7,0,456.0,168720.0
8,0,118.0,43660.0
8,0,321.0,118770.0
8,0,119.0,44030.0
8,0,698.0,258260.0
8,0,120.0,44400.0
8,0,206.0,76220.0
8,0,300.0,111000.0
8,0,100.0,37000.0
8,0,109.0,40330.0
9,0,485.0,179450.0
9,0,164.0,60680.0
9,0,183.0,67710.0
9,0,182.0,67340.0
9,0,500.0,185000.0
9,0,200.0,74000.0
9,0,241.0,89170.0
9,0,200.0,74000.0
9,0,136.0,50320.0
9,0,518.0,191660.0
9,0,0.1142,4282.5
9,0,228.0,84360.0
9,0,150.0,50500.0
9,0,370.0,136900.0
5,0,140.0,51800.0
5,0,293.0,380900.0
5,0,150.0,55500.0
5,0,10195.0,3772150.0
5,0,100.0,37000.0
5,0,240.0,88800.0
